user_idx,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13
44,-0.9997185,-0.9997185,-0.9997185,-0.9997185,-0.9997185,-0.9988188,-0.9988188,-0.9988188,-0.9988188,-0.97406334,-0.97406334,-0.97406334,-0.97406334,-0.97406334
45,0.94413006,0.94413006,0.94413006,0.94413006,0.94413006,0.94413006,0.94413006,0.94413006,0.94413006,-0.9948369,-0.9948369,-0.9828205,-0.9828205,-0.9828205
46,0.9984812,-0.99326223,-0.99326223,-0.99326223,-0.99326223,-0.9968803,-0.9968803,-0.9968803,-0.9968803,-0.99868584,-0.99868584,-0.99868584,-0.9983613,-0.9983613
47,-0.99768305,-0.99768305,-0.99768305,-0.99525356,-0.99525356,-0.99525356,-0.99861276,-0.99861276,-0.99861276,-0.99861276,-0.99861276,-0.99861276,-0.9833802,-0.9995535
48,-0.96094996,-0.96094996,-0.96094996,-0.96094996,-0.96094996,-0.96094996,-0.96094996,-0.96094996,-0.96094996,-0.96094996,-0.99776065,-0.9997985,-0.9997985,-0.9997985
49,0.99658185,0.99658185,0.9998801,0.9998801,-0.99299026,-0.99299026,-0.99299026,-0.99299026,-0.99299026,-0.99299026,-0.9987093,-0.9987093,-0.9987093,-0.9987093
50,-0.99772495,-0.99772495,-0.99772495,-0.99772495,-0.99772495,-0.99772495,-0.99772495,-0.99772495,-0.99772495,-0.99772495,-0.99772495,-0.99772495,-0.99772495,-0.8009672
51,-0.9996656,-0.9996656,-0.99875677,-0.99875677,-0.99875677,-0.99875677,-0.99875677,-0.99875677,-0.99875677,-0.99875677,-0.99875677,-0.99875677,-0.99875677,-0.99875677
52,-0.99974424,-0.99974424,-0.99974424,-0.99974424,-0.99974424,-0.99974424,-0.99974424,-0.99974424,-0.99974424,-0.99974424,-0.99974424,-0.99974424,-0.9960127,-0.9960127
53,-0.995726,-0.995726,-0.995726,-0.995726,-0.995726,-0.995726,-0.995726,-0.995726,-0.995726,-0.995726,-0.995726,-0.995726,-0.995726,-0.995726
54,-0.9847702,-0.9847702,-0.9847702,-0.9847702,-0.9847702,-0.9847702,-0.9847702,0.63202715,0.63202715,0.99049824,0.99049824,0.99049824,-0.9770796,-0.9770796
55,-0.9995291,-0.9995291,-0.9997588,-0.99867815,-0.99867815,-0.99867815,-0.99867815,-0.99867815,-0.99867815,-0.9989052,-0.9989052,-0.9989052,-0.9989052,-0.989647
56,-0.9998062,0.9996358,0.9996358,0.9996358,0.9996358,0.9996358,0.9996358,0.9996358,0.9996358,0.9996358,0.9996358,-0.9978491,-0.9978491,-0.9978491
57,-0.99623054,-0.99623054,-0.99623054,-0.99623054,-0.99623054,-0.99623054,-0.9990746,-0.9990746,-0.9990746,0.6713293,0.6713293,0.6713293,0.6713293,0.9978471
58,-0.9956499,-0.9956499,-0.9956499,-0.9983891,-0.9969662,-0.9969662,-0.9969662,-0.9969662,-0.9969662,-0.9969662,-0.9969662,-0.9969662,-0.9969662,-0.9969662
59,-0.9997683,-0.9997683,-0.9997683,-0.9997683,-0.9997683,-0.9997683,-0.9997683,0.9813644,0.9813644,0.9813644,0.9813644,0.9972389,-0.99961627,-0.99961627
60,0.999673,0.999673,0.999673,0.999673,0.999673,0.999673,0.999673,0.999673,0.999673,0.999673,0.999673,0.999673,0.999673,-0.99337727
61,-0.9981108,-0.9981108,-0.9981108,-0.9981108,-0.9981108,-0.9981108,-0.9981108,-0.9981108,-0.9992938,-0.9992938,-0.9992938,-0.9992938,-0.9992938,-0.9992938
62,-0.98764694,-0.98764694,-0.98764694,-0.98764694,-0.98764694,-0.98764694,-0.98764694,-0.98764694,-0.99531746,-0.99531746,-0.99531746,-0.99531746,-0.99531746,-0.99531746
63,-0.9996277,-0.9996277,-0.9996277,-0.9996277,-0.9996277,-0.9996277,-0.9996277,-0.9996277,-0.9996277,-0.9996277,-0.9996277,-0.9996277,-0.9996277,-0.9993048
64,0.99172324,0.99172324,0.99172324,0.99172324,0.99172324,0.99172324,0.99172324,0.99172324,0.99172324,0.9973144,-0.99820995,-0.99820995,0.99786735,-0.97867954
65,-0.9560325,-0.9560325,-0.9560325,-0.9560325,-0.9560325,-0.9560325,-0.9560325,-0.9560325,-0.9560325,-0.9560325,-0.9560325,-0.9560325,-0.9560325,-0.9560325
66,-0.9991047,-0.9991047,-0.9991047,-0.9991047,-0.9991047,-0.9991047,-0.9991047,-0.9991047,-0.9991047,-0.9991047,-0.9991047,-0.9991047,-0.9991047,-0.9991047
67,-0.9836162,-0.9836162,-0.9836162,-0.9836162,-0.9836162,-0.9836162,-0.9836162,-0.9836162,-0.9836162,-0.9836162,-0.99869496,-0.99869496,-0.99869496,-0.99869496
68,-0.99916255,-0.99916255,-0.99916255,-0.99916255,-0.99916255,-0.99916255,-0.99916255,-0.99916255,-0.99916255,-0.99916255,-0.99916255,-0.99916255,-0.99916255,-0.99916255
69,-0.99953234,-0.99953234,-0.99953234,-0.99953234,-0.99953234,-0.99953234,-0.99953234,-0.99953234,-0.99953234,-0.99953234,-0.99953234,-0.9986281,-0.9986281,-0.9986281
70,0.92041093,0.92041093,0.92041093,0.92041093,0.92041093,0.92041093,-0.99672073,-0.99672073,-0.99672073,0.9474889,0.9474889,-0.97045296,-0.97045296,-0.97045296
71,-0.99908423,-0.99908423,-0.99908423,-0.99908423,-0.99908423,-0.997468,-0.997468,-0.997468,-0.997468,-0.76921463,-0.76921463,-0.76921463,-0.76921463,-0.76921463
72,-0.99725974,-0.99725974,-0.9412772,-0.9412772,-0.9412772,-0.9412772,-0.99945027,-0.99945027,0.962191,0.962191,0.962191,0.962191,0.962191,0.962191
73,-0.9888671,-0.9888671,-0.9815871,-0.9995498,-0.9995498,-0.9995498,-0.9995498,-0.9995498,-0.9995498,-0.98231536,-0.98231536,-0.98231536,-0.98231536,-0.98231536
74,0.9396702,0.9396702,0.9396702,-0.9986438,-0.9986438,-0.99968433,-0.99968433,-0.99968433,-0.99968433,-0.96670705,-0.96670705,-0.96670705,-0.96670705,-0.96670705
75,-0.9995017,-0.9995017,-0.9995017,-0.9995017,-0.9995017,-0.9995017,-0.9995017,-0.9995017,-0.9995017,-0.95724285,-0.999796,-0.999796,-0.999796,-0.999796
76,0.997428,0.99293035,0.99293035,0.99293035,0.99293035,0.99293035,0.99293035,0.99293035,0.99293035,0.99293035,0.99293035,0.99293035,0.99293035,-0.9993773
77,-0.9995735,-0.9995735,-0.9995735,-0.9995735,-0.9995735,-0.9995735,0.9881187,0.9881187,0.9881187,0.834784,0.81359935,0.81359935,0.81359935,0.81359935
78,-0.9992386,-0.9992386,-0.9992386,-0.9992386,0.99799573,0.99799573,-0.99864286,-0.99864286,-0.99864286,-0.9994636,-0.9994636,-0.9994636,-0.98391587,-0.98391587
79,-0.9915712,-0.9915712,0.9969573,0.9969573,0.7478539,0.9981528,0.9981528,0.9981528,0.9981528,0.9981528,0.9981528,0.9981528,0.9981528,0.9981528
80,-0.9995565,-0.9995565,-0.9995565,-0.9995565,-0.9995565,-0.9995565,-0.9995565,-0.9995565,-0.9995565,-0.9995565,-0.99213624,0.9861363,0.9861363,-0.9861509
81,-0.99973494,-0.9992287,-0.9993876,-0.9997458,-0.9997458,-0.9997458,-0.9997458,-0.9997458,-0.9997458,-0.9997458,-0.9997458,-0.9997458,-0.9997458,-0.9997458
82,-0.5595477,-0.5595477,0.9996164,0.9996164,0.9996164,0.9996164,0.9996164,0.9996164,0.9996164,0.9996164,0.9996164,0.9996164,0.9996164,-0.999734
83,-0.99918836,-0.99918836,-0.9977951,-0.9977951,-0.9977951,-0.9977951,-0.9977951,-0.9977951,-0.9977951,-0.9977951,-0.9977951,-0.9977951,-0.9977951,-0.9977951
84,-0.9447687,-0.9447687,-0.63815373,0.91554284,0.91554284,0.91554284,0.91554284,0.91554284,0.91554284,0.91554284,0.91554284,0.91554284,-0.9993436,-0.9993436
85,-0.9954466,-0.9954466,-0.9954466,-0.9954466,-0.9954466,-0.9954466,-0.9954466,-0.9954466,-0.9954466,-0.9954466,-0.9954466,-0.9954466,-0.9954466,-0.9954466
86,0.95002323,-0.9987293,-0.9987293,0.98555213,0.98555213,0.98555213,0.98555213,0.98555213,0.98555213,0.98555213,0.99972385,0.99972385,0.99972385,0.99972385
87,-0.9948087,-0.9948087,-0.9948087,-0.9948087,-0.9948087,-0.9948087,-0.9948087,-0.9948087,-0.9948087,-0.9948087,-0.9948087,-0.9948087,-0.9948087,-0.9948087
88,-0.99861467,-0.99861467,-0.99861467,-0.99861467,-0.99861467,-0.99861467,-0.99861467,-0.99861467,-0.99861467,-0.99861467,-0.99861467,-0.99861467,-0.99861467,-0.99861467
89,0.98970234,0.98970234,-0.9565424,-0.9565424,-0.9565424,-0.9565424,-0.9565424,-0.9565424,-0.9565424,-0.9565424,-0.9565424,-0.9565424,-0.9565424,-0.9565424
90,-0.98784316,-0.99900407,-0.99900407,-0.99900407,-0.99596065,-0.99596065,-0.99596065,-0.99596065,-0.99596065,-0.99596065,-0.99596065,-0.99596065,-0.99596065,-0.99596065
91,-0.9934628,-0.9934628,-0.9934628,-0.9934628,-0.9934628,-0.9934628,-0.9934628,-0.9934628,-0.9934628,-0.9934628,-0.9934628,-0.9934628,-0.9934628,-0.9934628
92,-0.9971243,-0.9971243,-0.9971243,-0.9971243,-0.9971243,-0.9971243,-0.9971243,-0.9971243,-0.9971243,-0.9971243,-0.9971243,-0.9971243,-0.9971243,-0.9971243
93,-0.9950714,-0.9950714,-0.9950714,-0.9950714,-0.9950714,-0.9858695,-0.99858046,-0.7750032,-0.9996544,-0.9996544,-0.9996544,-0.9996544,-0.9996544,-0.9996544
94,-0.99972314,-0.99972314,-0.99972314,-0.99972314,-0.99972314,-0.99972314,-0.99972314,-0.99972314,-0.99972314,-0.99972314,-0.99972314,-0.99972314,-0.99972314,-0.99972314
