user_idx,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20,t_21,t_22,t_23,t_24,t_25,t_26,t_27,t_28
24,-0.9990734,-0.9990734,-0.9990734,-0.9990734,-0.9990734,-0.9990734,-0.9990734,-0.9990734,-0.9990734,-0.9990734,-0.9990734,-0.9990734,-0.9990734,-0.9990734,-0.9990734,-0.9990734,-0.9990734,-0.9990734,-0.63015586,-0.63015586,-0.63015586,-0.63015586,-0.63015586,-0.63015586,-0.63015586,-0.63015586,-0.63015586,-0.63015586,-0.63015586
25,-0.99936634,-0.99936634,-0.99936634,-0.99936634,-0.99936634,-0.99936634,-0.99936634,-0.99936634,-0.99936634,-0.99936634,-0.99936634,-0.99936634,-0.99936634,-0.99936634,-0.99936634,-0.99936634,-0.99936634,-0.99936634,-0.99936634,-0.99936634,-0.99936634,-0.99936634,-0.99936634,-0.99936634,-0.99936634,-0.99936634,-0.99699664,-0.99699664,-0.99699664
26,-0.9988158,-0.9988158,-0.9988158,-0.9988158,-0.9988158,-0.9988158,-0.9988158,-0.9988158,-0.9988158,-0.9988158,-0.9988158,-0.9988158,-0.9988158,-0.9988158,-0.9988158,-0.9988158,-0.9988158,-0.9988158,-0.9988158,-0.9988158,-0.9988158,-0.9988158,-0.9988158,-0.9988158,-0.9988158,-0.9988158,-0.9988158,-0.9988158,-0.9988158
27,-0.9908084,-0.9908084,-0.9908084,-0.9908084,-0.9908084,-0.9908084,-0.9908084,-0.9908084,-0.9908084,-0.9908084,-0.9908084,-0.9908084,-0.9908084,-0.9908084,-0.9908084,-0.9908084,-0.9908084,-0.9908084,-0.9908084,-0.9908084,-0.9908084,-0.9908084,-0.9908084,-0.9908084,-0.9908084,-0.9908084,-0.9908084,-0.9908084,-0.9908084
28,-0.9992393,-0.9992393,-0.9992393,-0.9992393,-0.9992393,-0.9992393,-0.9992393,-0.9992393,-0.9992393,-0.9992393,-0.9992393,-0.9992393,-0.9992393,-0.9992393,-0.9992393,-0.9992393,-0.9992393,-0.9992393,-0.63684714,-0.63684714,-0.63684714,-0.63684714,-0.63684714,-0.63684714,-0.9577745,-0.9577745,-0.9577745,-0.990245,-0.990245
29,-0.9876738,-0.9876738,-0.9876738,-0.9876738,-0.9876738,-0.9876738,-0.9876738,-0.9876738,-0.9876738,-0.9876738,-0.9876738,-0.9876738,-0.9876738,-0.9876738,-0.9876738,-0.9876738,-0.9876738,-0.9876738,-0.9876738,-0.9876738,-0.9876738,-0.9876738,-0.9876738,-0.9876738,-0.9876738,-0.9876738,-0.9876738,0.8506792,0.8506792
30,-0.99296373,-0.99296373,-0.99296373,-0.99296373,-0.99296373,-0.99296373,-0.99296373,-0.99296373,-0.99296373,-0.99296373,-0.99296373,-0.99296373,-0.99296373,-0.99296373,-0.99296373,-0.99296373,-0.99296373,-0.99296373,-0.99296373,-0.99296373,-0.99296373,-0.99296373,-0.99296373,-0.99296373,-0.99296373,-0.99296373,-0.99296373,-0.99296373,-0.99296373
31,-0.9944882,-0.9944882,-0.9944882,-0.9944882,-0.9944882,-0.9944882,-0.9944882,-0.9944882,-0.9944882,-0.9944882,-0.9944882,-0.9944882,-0.9944882,-0.9944882,-0.9944882,-0.9944882,-0.9944882,-0.9944882,-0.9944882,-0.9944882,-0.9944882,-0.9944882,-0.9944882,-0.9944882,-0.9944882,0.018422991,0.018422991,0.018422991,0.018422991
32,-0.9941866,-0.9941866,-0.9941866,-0.9941866,-0.9941866,-0.9941866,-0.9941866,-0.9941866,-0.9941866,-0.9941866,-0.9941866,-0.9941866,-0.9941866,-0.9941866,-0.9941866,-0.9941866,-0.9941866,-0.9941866,-0.9941866,-0.9941866,-0.9941866,-0.9941866,-0.9941866,-0.9941866,-0.9941866,-0.9988299,-0.98908746,-0.99967146,-0.99967146
33,-0.99233854,-0.99233854,-0.99233854,-0.99233854,-0.99233854,-0.99233854,-0.99233854,-0.99233854,-0.99233854,-0.99233854,-0.99233854,-0.99233854,-0.99233854,-0.99233854,-0.99233854,-0.99233854,-0.99233854,-0.99233854,-0.99233854,-0.99233854,-0.99233854,-0.99233854,-0.99233854,-0.99233854,-0.99233854,-0.99233854,-0.99233854,-0.99233854,-0.99233854
34,-0.99209654,-0.99209654,-0.99209654,-0.99209654,-0.99209654,-0.99209654,-0.99209654,-0.99209654,-0.99209654,-0.99209654,-0.99209654,-0.99209654,-0.99209654,-0.99209654,-0.99209654,-0.99209654,-0.99209654,-0.99209654,0.97637755,-0.943728,-0.943728,-0.943728,-0.943728,-0.8777247,-0.9962405,-0.9962405,-0.9962405,-0.9962405,-0.9962405
