user_idx,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14
37,-0.9772656,-0.9772656,-0.9772656,-0.9772656,-0.9772656,-0.9772656,-0.9772656,-0.9772656,-0.9772656,-0.9772656,-0.9772656,-0.9772656,-0.9772656,-0.9772656,-0.9772656
38,-0.9761474,-0.9761474,-0.9761474,-0.9761474,-0.9761474,-0.9761474,-0.9761474,-0.9761474,-0.9761474,-0.9761474,-0.9761474,-0.9761474,-0.9761474,-0.9761474,-0.9761474
39,0.00069341063,0.00069341063,0.00069341063,0.00069341063,0.00069341063,0.00069341063,0.00069341063,0.00069341063,0.00069341063,0.00069341063,0.00069341063,0.00069341063,0.00069341063,-0.9936295,-0.9936295
40,-0.98920304,-0.98920304,-0.98920304,-0.98920304,-0.98920304,-0.98920304,-0.98920304,-0.98920304,-0.98920304,-0.98920304,-0.98920304,-0.98920304,-0.98920304,-0.98920304,-0.98920304
41,-0.9864893,-0.9864893,-0.9864893,-0.9864893,-0.9864893,-0.9864893,-0.9864893,-0.9864893,-0.9864893,-0.9864893,-0.9864893,-0.9864893,-0.9864893,-0.9864893,-0.9864893
42,-0.9990101,-0.9990101,-0.9990101,-0.9990101,-0.9990101,-0.9971825,-0.9971825,-0.9971825,-0.9971825,-0.9903919,-0.99910814,-0.99910814,-0.99910814,-0.99910814,-0.99910814
43,0.51989406,0.51989406,0.51989406,0.51989406,0.51989406,0.51989406,0.51989406,0.51989406,0.51989406,0.51989406,0.51989406,0.51989406,0.51989406,0.51989406,0.51989406
44,-0.9983423,-0.9983423,-0.9983423,-0.9983423,-0.9983423,-0.9937418,-0.9937418,-0.9937418,-0.9937418,-0.9937418,-0.98949933,-0.98949933,-0.98949933,-0.99525994,-0.99525994
45,-0.99865997,-0.99865997,-0.99865997,-0.99865997,-0.99865997,-0.99865997,-0.99865997,-0.99865997,-0.99865997,-0.99865997,-0.99865997,-0.99865997,-0.985052,-0.9994079,-0.9994079
46,-0.99789727,-0.99789727,-0.99789727,-0.99789727,-0.99789727,-0.99789727,-0.99789727,-0.99789727,-0.99789727,-0.99789727,-0.99789727,-0.99789727,-0.99789727,-0.99789727,-0.99789727
47,-0.9972525,-0.9972525,-0.9972525,-0.9972525,-0.9972525,-0.9972525,-0.9972525,-0.9972525,-0.9972525,-0.9991775,-0.9991775,-0.99959785,-0.99959785,-0.99959785,-0.99959785
48,-0.9946089,-0.9946089,-0.9946089,-0.9946089,-0.9946089,-0.9946089,-0.9946089,-0.9946089,-0.9946089,-0.99851763,-0.99851763,-0.99945945,-0.99936587,-0.99964845,-0.99964845
49,-0.696877,-0.696877,-0.696877,-0.696877,-0.696877,-0.696877,-0.696877,-0.696877,-0.696877,0.9937926,0.9937926,-0.9864057,-0.99549675,-0.99549675,-0.99549675
